Domain,Location on Site,Tech Spend USD,Company,Vertical,Quantcast,Alexa,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,GDPR
"oilandgasnewsonline.com","oilandgasnewsonline.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-08-13","2018-08-23","2013-09-15","2018-08-23","-","Non-EU"
"oilandgasnewsworldwide.com","oilandgasnewsworldwide.com","$100","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2014-07-23","2018-08-07","2011-01-03","2018-08-20","-","Non-EU"
"oleorevista.com","oleorevista.com","$5000","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-976-466020;+34-902-999829","","https://twitter.com/oleorevista","https://facebook.com/oleorevista","","","","","","","","","","Madrid","M","28022","ES","2014-01-11","2018-07-26","2014-01-11","2018-07-28","-","Spain"
"oncologyex.com","oncologyex.com","$250","","Science","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-514-397-0228","editors@oncologyex.com;circulation@oncologyex.com","","","","","","","","","","","","Old Montreal","QC","H2Y","CA","2013-11-12","2018-08-03","2011-09-04","2018-08-03","-","Non-EU"
"oneiros.no","trianytt.test.oneiros.no","$100","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","post@oneiros.no","","","","","","","","","","","","","","","","2018-07-02","2018-08-05","2014-02-23","2018-08-05","-","Non-EU"
"tartalk.com","tartalk.com","$0","","Sports","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2016-06-29","2018-08-03","2016-03-20","2018-08-03","-","Non-EU"
"teamsrtatss.ga","teamsrtatss.ga","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"teamsrtatss.gq","teamsrtatss.gq","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"tecnipublicaciones.com","tecnipublicaciones.com","$5000","Grupo Tecnipublicaciones  S.L.","Technology And Computing","Outside Top 1m","Outside Top 1m","886431","Outside Top 1m","ph:+34-932-431040;+34-912-972000;+34-902-999829","","https://twitter.com/tecni","","","","","","","","","","","Madrid","M","28022","ES","2013-11-07","2018-08-03","2011-11-06","2018-08-03","-","Spain"
"thegulfonline.com","thegulfonline.com","$50","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+44-208-9433630","editorial@thegulfonline.com","","","","","","","","","","","","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","United Kingdom"
"thumperscorner.com","thumperscorner.com","$50","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-347-692-2522;+1-866-603-8394","","","","","","","","","","","","Troy Johnson - Founder - noemail","New York City","NY","10029","US","2013-11-12","2018-08-21","2013-02-28","2018-08-21","-","Non-EU"
"tiggners.tk","tiggners.tk","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-09","2018-05-02","2018-08-09","-","Non-EU"
"tradearabia.com","tradearabia.com","$100","","Business And Industrial","Outside Top 1m","250133","17948","216008","ph:","","https://twitter.com/tradearabia","https://facebook.com/tradearabia","","","","","","","","","N/A - Csuite - noemail","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-20","2011-01-03","2018-08-20","-","United Kingdom"
"travelresearchonline.com","travelresearchonline.com","$5000","","Travel","172999","596335","Outside Top 1m","141629","ph:+1-904-371-3179;+1-850-386-3300","support@travelresearchonline.com","","https://facebook.com/travelresearchonline","","","","","","","","","Stacy Small - President - stacy@travelresearchonline.com; Jim Tedesco - President - jim@travelresearchonline.com","Tallahassee","FL","32309","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"travlang.com","travlang.com","$5000","Travlang Inc.","Education","21488","Outside Top 1m","12567","Outside Top 1m","ph:+61-72-0040715","webmaster@travlang.com","","","","","","","","","","","","","","","","2013-10-24","2018-08-08","2011-01-31","2018-08-20","-","Non-EU"
"trianytt.no","trianytt.no","$0","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","https://facebook.com/trianytt.no","","","","","https://instagram.com/trianytt.no","","","","","","","","","2016-12-27","2018-08-05","2016-12-24","2018-08-05","-","Non-EU"
"truckdriver.com","truckdriver.com","$250","","Automotive And Vehicles","90797","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-763-444-8998;+1-877-462-3528;+1-800-334-5142;+1-877-791-9458","debbie@truckdriver.com;pete@truckdriver.com;jim@truckdriver.com;vona@truckdriver.com;brian@truckdriver.com","https://twitter.com/truckdriver_com","https://facebook.com/truckdriverjobs","","","","","","","","","Aurora Parts - Account - noemail; Pete Palmer - Sales - noemail; Jim Condon - Sales - noemail","Sioux Falls","SD","57104","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"ttnonline.com","ttnonline.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+44-208-9433630;+1-208-943-3630","","","","","","","","","","","","","Teddington","LONDON","TW11","GB","2013-11-12","2018-08-21","2013-02-28","2018-08-21","-","United Kingdom"
"ttnworldwide.com","ttnworldwide.com","$50","Al Hilal Group","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-208-943-3630","","https://twitter.com/ttnworldwide","https://facebook.com/ttnworldwide","","","","","","","","https://youtube.com/user/ttnworldwide1","","","","","","2013-10-24","2018-08-07","2012-01-06","2018-08-07","-","Non-EU"
"turbonines.com","turbonines.com","$5000","Vortex Media Group","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-10-21","2018-08-27","2011-11-06","2018-08-27","-","Non-EU"
"imaging-resource.com","imaging-resource.com","$500","","Technology And Computing","7583","32202","6766","81743","ph:","detchells@imaging-resource.com;mtomkins@imaging-resource.com;jgray@imaging-resource.com;shawn@imaging-resource.com;data@imaging-resource.com;web@imaging-resource.com;hotnews@imaging-resource.com;ads@imaging-resource.com;otnews@imaging-resource.com;tnews@imaging-resource.com;ditor@imaging-resource.com;photos@imaging-resource.com;mkins@imaging-resource.com;links@imaging-resource.com;itor@imaging-resource.com;nkelsh@imaging-resource.com;photo@imaging-resource.com;gannon@imaging-resource.com;ns@imaging-resource.com;ins@imaging-resource.com","","https://facebook.com/imagingresource","","https://google.com/+imagingresource","","","","","","","David Etchells - Whois - detchells@imaging-resource.com; Arthur Etchells - Director - aetchells@imaging-resource.com","Woodstock","GA","30188","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"indiansex4u.co.uk","indiansex4u.co.uk","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","United Kingdom"
"indiansex4u.com","indiansex4u.com","$0","tarrob web services inc","Adult","Outside Top 1m","308758","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2018-02-09","2018-08-07","2011-11-06","2018-08-20","-","Non-EU"
"interracialsex4u.com","interracialsex4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Bainbridge Island","WA","98110","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"investorvillage.com","investorvillage.com","$50","","Technology And Computing","83661","133883","139583","112963","ph:","admin@investorvillage.com;support@investorvillage.com","https://twitter.com/investorvillage","","","","","","","","","","","Marrero","LA","70073","US","2013-10-24","2018-08-20","2011-01-03","2018-08-22","-","Non-EU"
"iposenaked.com","iposenaked.com","$0","Contactmusic.com Ltd","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-859-219-9065","","","","","","","","","","","","","Lexington","KY","40509","US","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"jenteporten.no","jenteporten.no","$0","","Shopping","Outside Top 1m","Outside Top 1m","238487","Outside Top 1m","ph:","lotte@jenteporten.no","https://twitter.com/jenteporten","","","","","","","","","","","","","","","2013-11-12","2018-08-26","2011-11-06","2018-08-26","-","Non-EU"
"jobs4bahrainis.com","jobs4bahrainis.com","$100","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","https://twitter.com/jobs4bahrainis","","","","","","https://instagram.com/jobs4bahrainis","","","","","","","","","2013-10-24","2018-08-03","2013-02-19","2018-08-03","-","Non-EU"
"johnsteffensen.no","johnsteffensen.no","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2014-12-08","2018-08-20","2014-01-11","2018-08-20","-","Non-EU"
"jsfcentral.com","jsfcentral.com","$100","Virtua Inc","Technology And Computing","Outside Top 1m","Outside Top 1m","70112","Outside Top 1m","ph:","submissions@jsfcentral.com;webmaster@jsfcentral.com;info@jsfcentral.com","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2012-01-06","2018-08-03","-","Non-EU"
"sambples.tk","sambples.tk","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"sexe-sex-porno.com","sexe-sex-porno.com","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-25","-","Non-EU"
"showmax.com.tr","showmax.com.tr","$0","","","Outside Top 1m","728726","Outside Top 1m","66412","ph:","","https://twitter.com/showmaxshow","https://facebook.com/showmaxshow","","","","","https://instagram.com/showmaxtv","","","","","","","","","2014-07-07","2018-08-07","2014-01-11","2018-08-20","-","Non-EU"
"showturk.com.tr","showturk.com.tr","$0","","Art And Entertainment","Outside Top 1m","321028","Outside Top 1m","64454","ph:","","https://twitter.com/showturkshow","https://facebook.com/showturkshow","","","","","https://instagram.com/showturkshow","","","","","","","","","2016-11-09","2018-08-20","2016-03-20","2018-08-20","-","Non-EU"
"showtv.com.tr","showtv.com.tr","$2000","","Technology And Computing","Outside Top 1m","18579","102445","45840","ph:","","https://twitter.com/showtv","https://facebook.com/showtv","","https://google.com/+showtv","","","https://instagram.com/showtv_","","","","","","","","","2014-05-30","2018-08-25","2013-12-15","2018-08-25","-","Non-EU"
"sicalzs.gq","sicalzs.gq","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-25","2018-05-02","2018-08-25","-","Non-EU"
"sigghisoaras.ga","sigghisoaras.ga","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-03","2018-05-02","2018-08-03","-","Non-EU"
"skift-jobb.no","skift-jobb.no","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2016-03-20","2018-08-03","2016-03-20","2018-08-03","-","Non-EU"
"slutwife4u.com","slutwife4u.com","$0","tarrob web services inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"smallboatsmonthly.com","smallboatsmonthly.com","$100","","Home And Garden","200082","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-06-20","2018-08-08","2014-09-17","2018-08-08","-","Non-EU"
"smallcapdirectory.com","smallcapdirectory.com","$500","IntegrityMessageBoards.com LLC","Finance","273019","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-314-431-9442;+1-866-333-9244;+1-314-721-2595","","","","","","","","","","","","Mark Rupe - Analyst - noemail","Marrero","LA","70072","US","2013-10-24","2018-08-20","2012-07-05","2018-08-20","-","Non-EU"
"smarterhomeautomation.com","smarterhomeautomation.com","$250","","Technology And Computing","Outside Top 1m","Outside Top 1m","850101","Outside Top 1m","ph:+1-949-291-2867","reviewer@smarterhomeautomation.com","https://twitter.com/smarterhomeauto","https://facebook.com/smarterhomeauto","","","","","https://instagram.com/smarterhomeautomation","","","","","","","","","2015-11-10","2018-08-05","2015-11-10","2018-08-05","-","Non-EU"
"smsmousic.gq","smsmousic.gq","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2017-11-19","2018-08-26","2017-11-19","2018-08-26","-","Non-EU"
"spillegratis.no","spillegratis.no","$10","","Sports","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-26","2013-09-15","2018-08-26","-","Non-EU"
"stonebloc.co.za","stonebloc.co.za/*","$50","","Shopping","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+61-72-2762136;+61-73-2229084","admin@stonebloc.co.za","","https://facebook.com/stoneblocproperties","","","","","","","","","","","","","","2018-08-26","2018-08-26","2016-06-29","2018-08-26","-","Non-EU"
"videofldixs.ga","videofldixs.ga","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-18","2018-08-28","2018-05-31","2018-08-28","-","Non-EU"
"vixen.no","vixen.no","$1000","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","post@vixen.no","","","","","","","https://instagram.com/vixen_magazine","","","","","","","","","2013-11-12","2018-08-28","2012-09-06","2018-08-28","-","Non-EU"
"doctorsreview.com","doctorsreview.com","$250","","Travel","309939","658449","636024","Outside Top 1m","ph:+1-514-397-8833","editors@doctorsreview.com","https://twitter.com/doctorsreview","https://facebook.com/doctorsreview","","","","","","","","","","","","","","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"dynamixtechnology.com","dynamixtechnology.com","$50","Dynamix Technology Ltd","Business And Industrial","Outside Top 1m","857570","Outside Top 1m","Outside Top 1m","ph:+44-1608-730988;+44-1865-370380","enquiries@dynamixtechnology.com","","","","","","","","","","","","Kidlington","OXF","OX5","GB","2015-01-27","2018-08-03","2014-06-10","2018-08-03","-","United Kingdom"
"dyresiden.no","dyresiden.no","$0","","Law  Govt And Politics","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-07","2012-08-30","2018-08-07","-","Non-EU"
"haberturk.com","haberturk.com","$5000","","Technology And Computing","Outside Top 1m","1216","8483","17469","ph:","info@haberturk.com","https://twitter.com/haberturk","https://facebook.com/haberturk","https://linkedin.com/company/haberturk","https://google.com/+haberturk","https://pinterest.com/haberturk","","https://instagram.com/haberturk","","","https://youtube.com/user/hthayatcom","","Brockport","NY","14420","US","2013-10-24","2018-08-21","2011-01-03","2018-08-21","-","Non-EU"
